"11/4/2022","2102","-0.4000000000000057"
"11/7/2022","2379","3.5999999999999943"
"11/11/2022","1933","-3.5"
"11/14/2022","3691","3.3000000000000114"
"11/16/2022","1674","-2.9000000000000057"
"11/18/2022","2453","3.4000000000000057"
"11/21/2022","2767","2.8999999999999773"
"11/23/2022","1877","-4.5"
"11/28/2022","2937","4.700000000000017"
"11/30/2022","2220","-4.0"
"12/2/2022","2549","0.9000000000000057"
"12/5/2022","2697","2.1999999999999886"
"12/7/2022","2342","-2.5"
"12/9/2022","2080","-0.19999999999998863"
"12/12/2022","2623","1.8999999999999773"
"12/14/2022","2637","-2.0"
"12/16/2022","2583","1.3000000000000114"
"12/19/2022","2668","0.30000000000001137"
"12/23/2022","2680","-0.8000000000000114"
"12/26/2022","3611","4.099999999999994"
"12/28/2022","2122","-2.5"
"12/31/2022","2673","-0.9000000000000057"
"1/4/2023","2296","0.4000000000000057"
"1/6/2023","1937","-1.0"
"1/9/2023","2454","2.9000000000000057"
"1/11/2023","2034","-2.5"
"1/13/2023","2479","0.09999999999999432"
"1/16/2023","2697","2.3000000000000114"
"1/18/2023","1679","-3.5"
"1/20/2023","2186","1.0999999999999943"
"1/23/2023","2890","2.5"
"1/26/2023","1650","-3.8000000000000114"
"1/27/2023","1720","-1.0"
"1/30/2023","2244","2.1000000000000227"
"2/1/2023","1708","-2.9000000000000057"
"2/3/2023","1633","0.09999999999999432"
"2/6/2023","2209","3.8000000000000114"
"2/9/2023","1904","-4.5"
"2/10/2023","1910","1.1999999999999886"
"2/13/2023","2359","1.6999999999999886"
"2/15/2023","3053","-1.0999999999999943"
"2/18/2023","2188","-0.5"
"2/20/2023","2988","2.5"
"2/24/2023","1776","-3.1999999999999886"
"2/27/2023","3053","2.799999999999983"
"3/1/2023","1951","-2.5999999999999943"
"3/3/2023","1876","-1.0"
"3/6/2023","2170","2.0999999999999943"
"3/8/2023","1808","-3.1999999999999886"
"3/10/2023","1815","1.5999999999999943"
"3/13/2023","2300","1.200000000000017"
"3/15/2023","1878","-2.5"
"3/17/2023","2157","0.5"
"3/20/2023","2986","2.5999999999999943"
"3/22/2023","1581","-0.5"
"3/24/2023","1454","-2.5999999999999943"
"3/27/2023","2610","3.5999999999999943"
"3/29/2023","1657","-3.3000000000000114"
"3/31/2023","1697","-0.9000000000000057"
"4/3/2023","3160","6.400000000000006"
"4/5/2023","2095","-5.299999999999983"
"4/7/2023","1924","-0.4000000000000057"
"4/10/2023","3294","3.9000000000000057"
"4/12/2023","1205","-4.900000000000006"
"4/14/2023","1189","-0.30000000000001137"
"4/17/2023","3451","3.0999999999999943"
"4/19/2023","1749","-2.5999999999999943"
"4/21/2023","2007","-0.6999999999999886"
