"7/10/2023","660"
"7/14/2023","1323"
"7/18/2023","123"
"7/19/2023","-428"
"7/21/2023","2793"
"7/24/2023","567"
"7/26/2023","2367"
"7/28/2023","-343"
"7/31/2023","257"
"8/2/2023","2308"
"8/4/2023","-363"
"8/7/2023","98"
"8/9/2023","-15397"
"8/14/2023","1658"
"8/16/2023","6532"
"8/18/2023","-324"
"8/21/2023","-592"
"8/25/2023","1751"
"8/28/2023","298"
"8/30/2023","2196"
"9/1/2023","-197"
"9/4/2023","945"
"9/6/2023","1178"
"9/8/2023","3708"
"9/11/2023","-276"
"9/13/2023","3324"
"9/15/2023","-797"
"9/18/2023","1046"
"9/20/2023","2039"
"9/22/2023","-359"
"9/25/2023","448"
"9/27/2023","2789"
"9/29/2023","-244"
"10/2/2023","1301"
"10/4/2023","1491"
"10/6/2023","-967"
"10/9/2023","-132"
"10/11/2023","2726"
"10/13/2023","-1850"
"10/16/2023","443"
"10/18/2023","1906"
"10/20/2023","-694"
"10/23/2023","29"
"10/25/2023","1738"
"10/27/2023","-4990"
"10/30/2023","421"
"11/1/2023","2467"
"11/3/2023","-512"
"11/6/2023","820"
"11/8/2023","1269"
"11/13/2023","-466"
"11/15/2023","5397"
"11/17/2023","-1827"
"11/20/2023","-369"
"11/22/2023","2358"
"11/27/2023","-48"
"11/29/2023","3932"
"12/1/2023","302"
"12/4/2023","1229"
"12/6/2023","-615"
"12/8/2023","-359"
"12/11/2023","3492"
"12/13/2023","3961"
"12/15/2023","507"
"12/18/2023","1348"
"12/20/2023","766"
"12/27/2023","8983"
"12/30/2023","-149"
"1/1/2024","4301"
"1/3/2024","326"
"1/5/2024","1922"
"1/8/2024","163"
"1/10/2024","1580"
"1/12/2024","-687"
"1/15/2024","722"
"1/17/2024","1930"
"1/19/2024","-90"
"1/22/2024","15488"
"1/24/2024","3181"
"1/26/2024","39"
"1/29/2024","-332"
"1/31/2024","2663"
"2/2/2024","-209"
"2/5/2024","236"
"2/7/2024","2163"
"2/9/2024","122"
"2/12/2024","1027"
